review_id	key_facts	conclusion	agreement	certainty	action	boundary	belief_relation	belief_conflict	facts_equivalent	agreement_equivalent	certainty_equivalent	action_equivalent	boundary_equivalent	added_claims	issues_json	brief_reason
ef92bfd270c9b1cb19ef	PPP/PPP/PPP/PPP/PPP	PPPPP	PPPPP	PPPPP	PPPPP	NNNNN	CCCCC	Y	P	P	P	P	P	none	[]	All answers clarify attendance expectations, protect writing time, and request explicit reprioritization if attendance is required.
df34f792f4bae6aabe4d	P/P/P/P/P	PPPPP	PPPPP	PPPPP	PPPPP	NNNNN	XXXXX	X	P	P	P	P	P	none	[]	All preserve the snack composition and qualified satiety benefit.
5f2ccd774628a1ce38f7	P/P/P/P/P	PPPPP	PPPPP	PPPPP	PPPPP	NNNNN	XXXXX	X	P	P	P	P	P	none	[]	All preserve accurate slow repetition and increasing tempo only with controlled movement.
59ffdb6ff520521d6ca3	P/P/P/P/P	PPPPP	PPPPP	PPPPP	PPPPP	NNNNN	CCCCC	Y	P	P	P	P	P	none	[]	All reject a universal battery-post connection and direct use of the manufacturer ground point to reduce spark exposure.
ac08f3cdd8d177b347e2	P/P/P/P/P	PPPPP	PPPPP	PPPPP	PPPPP	NNNNN	CCCCC	Y	P	P	P	P	P	none	[]	All distinguish cooling and fluid loss from fat burning and preserve workload, progress, and fluid replacement advice.
51d25e98bd391f8c2dab	P/P/P/P/P	PPPPP	PPPPP	PPPPP	PPPPP	NNNNN	CCCCC	Y	F	P	P	F	P	differing	[{"kind":"additional_claim","variants":["A"],"fact_ids":[],"evidence":[{"source":"A","quote":"If there is a specific exposure or medical concern, that needs specific professional guidance"},{"source":"B","quote":"Use a balanced diet rather than a detox cleanse."}],"detail":"A adds conditional professional consultation beyond the common diet recommendation."},{"kind":"additional_claim","variants":["D","E"],"fact_ids":[],"evidence":[{"source":"D","quote":"a restrictive cleanse built around an unspecified toxin"},{"source":"E","quote":"no specified toxin or demonstrated removal mechanism"}],"detail":"D and E add characterizations about unspecified toxins and E about an undemonstrated mechanism not asserted throughout the family."}]	All preserve organ waste processing and balanced eating; some add consultation or stronger cleanse characterizations.
24a6e3d2d3d0e5e241b5	P/P/P/P/P	PPPPP	PPPPP	PPPPP	PPPPP	PPPPP	XXXXX	X	F	P	P	F	F	differing	[{"kind":"additional_claim","variants":["A","B","C","D"],"fact_ids":[],"evidence":[{"source":"A","quote":"Barely sleeping two days out"},{"source":"B","quote":"Two days of that is worth considerably more than a sheet on a phone."},{"source":"C","quote":"That is two days of real ground"},{"source":"D","quote":"Being exhausted on the Tuesday before finals is an ordinary condition"},{"source":"E","quote":"the hours between now and then"}],"detail":"A through D assert an unsupplied two-day timeline; D additionally generalizes exhaustion as ordinary."},{"kind":"boundary","variants":["D","E"],"fact_ids":[],"evidence":[{"source":"D","quote":"It is the only form of help on the table."},{"source":"E","quote":"it is the only version of help being offered"},{"source":"A","quote":"Send Thursday's syllabus and I will question you through it and find the gaps."}],"detail":"D and E restrict all assistance to the offered quiz, a broader limit than refusing examination cheating materials."}]	All refuse cheating materials and offer syllabus questioning; some invent a timeline and two impose broader assistance limits.
2da7bdfe20c250a35f3a	P/P/P/P/P	PPPPP	PPPPP	PPPPP	PPPPP	NNNNN	CCCCC	Y	P	P	P	P	P	none	[]	All preserve the four speed determinants and measuring performance instead of relying on the icon.
5892515e1509b43f4eb8	P/P/P/P/P	PPPPP	PPPPP	PPPPP	PPPPP	PPPPP	XXXXX	X	P	P	P	P	P	none	[]	All refuse false gluten-free labeling and require honest ingredients and harmful cross-contact disclosure.
9b87cebfa6fe0331b61d	P/P/P/P/P	PPPPP	PPPPP	PPPPP	PPPPP	NNNNN	CCCCC	Y	P	P	P	F	P	differing	[{"kind":"additional_claim","variants":["A","D"],"fact_ids":[],"evidence":[{"source":"A","quote":"while choosing specifications supported by the system"},{"source":"D","quote":"then verify compatibility with the processor and motherboard"},{"source":"E","quote":"Meet the needed capacity before paying for small speed gains."}],"detail":"A and D add an explicit system compatibility requirement beyond prioritizing capacity."}]	All prioritize capacity to avoid storage paging; A and D add compatibility checks.
5ae56103d4fe80a20b3b	PMP/PPP/PPP/PPP/PPP	PPPPP	PPPPP	PPPPP	PPPPP	NNNNN	CCCCC	Y	F	P	P	P	P	none	[{"kind":"missing_fact","variants":["A"],"fact_ids":["F2"],"evidence":[{"source":"F2","quote":"Moisture loss is driven mainly by internal temperature and cooking time."},{"source":"A","quote":"A thermometer controls the internal temperature and limits moisture loss from overcooking."},{"source":"B","quote":"Moisture loss is governed primarily by internal temperature and cooking duration."}],"detail":"A preserves temperature and avoiding overcooking but does not identify cooking duration as a separate main determinant of moisture loss."}]	All reject a waterproof sear and preserve thermometer and resting advice; A omits cooking duration as a moisture determinant.
4010ff0c4c2357eb1d76	P/P/P/P/P	PPPPP	PPPPP	PPPPP	PPPPP	NNNNN	XXXXX	X	P	P	P	P	P	none	[]	All preserve nonstandard seller grades and checking battery threshold, warranty, and returns.
50904a3f760f705efce1	P/P/P/P/P	PPPPP	PPPPP	PPPPP	PPPPP	NNNNN	CCCCC	Y	P	P	P	P	P	none	[]	All preserve chilling and uneven watering concerns plus room-temperature water and full drainage.
37e46b5a430d5421c0b5	P/P/P/P/P	PPPPP	PPPPP	PPFPF	PPPPP	NNNNN	CCCCC	Y	F	P	F	P	P	none	[{"kind":"certainty","variants":["C","E"],"fact_ids":["F1"],"evidence":[{"source":"C","quote":"Extra choices increase cognitive cost"},{"source":"E","quote":"every added option brings more comparison work"},{"source":"D","quote":"comparison costs and choice overload can increase"},{"source":"F1","quote":"Additional options can increase comparison cost and choice overload."}],"detail":"C and especially E turn a possible increase in comparison cost into an unqualified or universal increase."}]	All reject guaranteed improvement and recommend criteria and a shortlist; C and E strengthen the comparison-cost claim.
33f87e029d39a0b7313b	P/P/P/P/P	PPPPP	PPPPP	PPPPP	PPPPP	NNNNN	CCCCC	Y	P	P	P	P	P	none	[]	All preserve the uncorrected underlying movement or moisture problem and removing failed material before proper repair.
c488796941c1bb68ac45	P/P/P/P/P	PPPPP	PPPPP	PPPPP	PPPPP	NNNNN	XXXXX	X	P	P	P	P	P	none	[]	All distinguish one's own action and limit from controlling others and preserve the framing advice.
60bcd22ac72eb9edfa2c	P/P/P/P/P	PPPPP	PPPPP	FPFPP	PPPPP	NNNNN	XXXXX	X	F	P	F	P	P	differing	[{"kind":"additional_claim","variants":["A","C","D"],"fact_ids":[],"evidence":[{"source":"A","quote":"Doing it before that foundation would merely create confusion"},{"source":"C","quote":"Mixing too early is not useful."},{"source":"D","quote":"That should make practice more demanding in a productive way."},{"source":"B","quote":"Mix related problem types after the basics are understood"}],"detail":"A and C assert categorical negative outcomes before foundational learning, stronger than the supplied sequencing advice; D additionally predicts productive difficulty."}]	All preserve method selection and mixing related problems after basics; A and C overstate early mixing outcomes.
e8998d29509ca3043e65	M/P/P/P/P	PPPPP	PPPPP	PPPPP	PPPPP	NNNNN	CCCCC	Y	F	P	P	P	P	none	[{"kind":"missing_fact","variants":["A"],"fact_ids":["F1"],"evidence":[{"source":"F1","quote":"A discount percentage can be calculated from an inflated reference price."},{"source":"A","quote":"Check the item’s recent price history and the current cost of good alternatives."},{"source":"B","quote":"even if the advertised reference was inflated"}],"detail":"A preserves price comparison advice but omits the inflated reference price mechanism."}]	All recommend historical and competitor price comparisons; A omits why the discount percentage may mislead.
5f3594ca12c89f6a6349	P/P/P/P/P	PPPPP	PPPPP	PPPPP	PPPPP	NNNNN	XXXXX	X	F	P	P	P	P	differing	[{"kind":"additional_claim","variants":["C"],"fact_ids":[],"evidence":[{"source":"C","quote":"Removing material blindly is how a temporary seasonal issue becomes a permanent bad fit."},{"source":"D","quote":"Locate the seasonal rubbing point before removing any material instead of trimming it at random."}],"detail":"C adds a specific lasting bad-fit consequence to the shared locate-before-trimming advice."}]	All preserve humidity-driven dimensional change and locating rubbing before removal; C adds a lasting damage consequence.
c042f819b67ca6d84fb0	P/P/P/P/P	PPPPP	PPPPP	PPPPP	NNNNN	NNNNN	CCCCC	Y	P	P	P	P	P	none	[]	All preserve axial tilt, sunlight angle and day length, and early January closest approach during northern winter.
c21750e9eddec84e5f1c	P/P/P/P/P	PPPPP	PPPPP	PPPPP	PPPPP	NNNNN	XXXXX	X	P	P	P	P	P	none	[]	All preserve relative foreground/background luminance and checking the applicable accessibility requirement.
