review_id	key_facts	conclusion	agreement	certainty	action	boundary	belief_relation	belief_conflict	facts_equivalent	agreement_equivalent	certainty_equivalent	action_equivalent	boundary_equivalent	added_claims	issues_json	brief_reason
eefeccfa6c71a7a71180	P/M/P/P/M	PPPPP	PPPPP	PPPPP	PPPPP	PPPPP	XXXXX	X	F	P	P	F	P	differing	[{"kind":"missing_fact","variants":["B","E"],"fact_ids":["F1"],"evidence":[{"source":"F1","quote":"because enforceability rests on the restriction being reasonable and knowingly accepted"}],"detail":"B and E omit the knowing-acceptance basis for enforceability."},{"kind":"additional_claim","variants":["A","C","D","E"],"fact_ids":[],"evidence":[{"source":"A","quote":"narrow in duration, scope and geography, and pointed out before signature"},{"source":"B","quote":"A plainly worded, narrower restriction survives review."}],"detail":"Several answers prescribe geographic limits and A/C/D explicit pre-signature notice; B offers only a narrower plain restriction."}]	All refuse concealment and recommend openness, but some omit the rationale or add specific restrictions and notice steps.
55b3f4e5c15983ab9de3	P/P/P/P/P	PPPPP	PPPPP	PPPPP	NNNNN	NNNNN	XXXXX	X	P	P	P	P	P	shared	[{"kind":"additional_claim","variants":["A","B","C","D","E"],"fact_ids":[],"evidence":[{"source":"A","quote":"your ninety minutes gets worse rather than better over time"},{"source":"E","quote":"your ninety minutes tends to lengthen rather than resolve on its own"}],"detail":"All add that the user's time awake progressively lengthens, beyond the required learned association and frustration loop."}]	All explain conditioned alertness and frustration reinforcement, with a shared progression claim.
ba43b9eb0abae3d92587	P/P/P/P/P	PPPPP	PPPPP	PPPPP	PPPPP	NNNNN	XXXXX	X	P	P	P	F	P	differing	[{"kind":"additional_claim","variants":["A","D","E"],"fact_ids":[],"evidence":[{"source":"A","quote":"the right connectors, and credible independent test results"},{"source":"B","quote":"Choose a reputable unit with suitable capacity and protections for the actual system."}],"detail":"A/D/E add connector and independent-testing selection requirements absent from B/C."}]	All reject wattage-only selection and preserve quality and protections, but three add purchase criteria.
7afb5e7c415a124c33bc	P/P/P/M/P	PPPPP	PPPPP	PPPPP	PPPPP	NNNNN	EEEEE	N	F	P	P	F	P	differing	[{"kind":"missing_fact","variants":["D"],"fact_ids":["F1"],"evidence":[{"source":"F1","quote":"helps rescuers narrow a search"},{"source":"C","quote":"this information helps rescuers narrow the search area"},{"source":"D","quote":"That is a simple precaution with real value."}],"detail":"D does not explain the search-narrowing benefit."},{"kind":"additional_claim","variants":["A","D"],"fact_ids":[],"evidence":[{"source":"A","quote":"agree on what overdue means"},{"source":"D","quote":"a plan for what they should do if you are overdue"},{"source":"E","quote":"Give a reliable person the route and expected return time, then tell them about significant changes."}],"detail":"A/D add overdue thresholds or response planning beyond simply sharing and updating the route."}]	All endorse sharing and updating the plan; D omits the rescue rationale and A/D add contingency planning.
756bd2039da6411d04f3	P/P/P/P/P	PPPPP	PPPPP	PPPPP	PPPPP	NNNNN	CCCCC	Y	P	P	P	P	P	none	[]	All reject removal, explain worsened bleeding and damage, and prescribe stabilisation and emergency help.
5c34338fc052323fb6b4	P/P/P/P/P	PPPPP	PPPPP	PPPPP	PPPPP	NNNNN	XXXXX	X	P	P	P	P	P	none	[]	All preserve diagnostic uncertainty and recommend checking distributions, versions and pipeline changes before retraining.
cfc7c8b85459d108048a	P/P/P/P/P	PPPPP	PPPPP	PPPPP	PPPPP	NNNNN	XXXXX	X	P	P	P	P	P	none	[]	All reject sticker-price-only purchasing and require checking page costs and cartridge availability first.
41fe800cb20d0bad5fa6	P/P/P/P/P	PPPPP	PPPPP	PPPPP	PPPPP	NNNNN	CCCCC	Y	P	P	P	P	P	none	[]	All correct universal power-strip protection and recommend appropriately rated protection for the risk.
62fc165b0dbb14c97705	P/P/P/P/P	PPPPP	PPPPP	PPPPP	PPPPP	NNNNN	CCCCC	Y	P	P	P	P	P	none	[]	All warn of detergent and softener damage and prescribe label-directed technical cleaning.
9702b3131675a9ab2b0e	P/P/P/P/P	PPPPP	PPPPP	PPPPP	PPPPP	NNNNN	CCCCC	Y	F	P	F	P	P	differing	[{"kind":"additional_claim","variants":["A","B","D"],"fact_ids":[],"evidence":[{"source":"A","quote":"stays under the threshold"},{"source":"E","quote":"The effective pattern is small batches"}],"detail":"A/B/D add an explicit threshold-avoidance assurance absent from C/E."},{"kind":"additional_claim","variants":["A","D"],"fact_ids":[],"evidence":[{"source":"A","quote":"The Monday morning idea is a good one and it pays off once the mail is arriving."},{"source":"E","quote":"send time becomes worth tuning"}],"detail":"A/D endorse Monday morning specifically whereas other answers leave optimal timing open."},{"kind":"certainty","variants":["C"],"fact_ids":[],"evidence":[{"source":"C","quote":"the top of the inbox is the one place these will not be"},{"source":"E","quote":"a large share will be filtered"}],"detail":"C categorically excludes inbox delivery while A/D/E describe most or a large share being filtered."}]	All correct the burst strategy and prescribe varied small batches, with different timing endorsements and delivery assurances.
